"ID";"Place";"DecLatitude";"DecLongitude";"ModernName";"Dutch"
"264";"Cape Corse Castle";"5.1042";"-1.2418";"Cape Coast, Ghana, Africa";NULL
"265";"Cape de Grat";"51.6132";"-55.4381";"Cape Bauld, Newfoundland, Canada";NULL
"266";"Cape de Saint de Maria";"36.9737";"-7.8666";"Cabo de Santa Maria";NULL
"267";"Cape de Tennes";"36.5528";"1.36";"Ras Tenes";NULL
"268";"Cape de Verd";"14.7239";"-17.5016";"Cap Vert";NULL
"269";"Cape de Verde";"14.7239";"-17.5016";"Cap Vert";NULL
"270";"Cape Dell Mole";"43.9555";"8.1724";"Capo delle Mele";NULL
"271";"Cape Diggs, Diggs isl, HB";"62.5717";"-78.0889";NULL;NULL
"272";"Cape Dolphin";"-51.2422";"-58.9567";NULL;NULL
"273";"Cape Dolpin";"-51.2422";"-58.9567";"Cape Dolphin";NULL
"274";"Cape Dondra";"5.9251";"80.5898";"Dondra Head";NULL
"275";"Cape Donna Maria";"18.6152";"-74.4238";"Cape Dame Marie, Haiti";NULL
"276";"Cape Elizabeth";"43.5636";"-70.2014";NULL;NULL
"277";"Cape Elizabeth, N Am";"43.5636";"-70.2014";"Cape Elizabeth";NULL
"278";"Cape Falso";"-34.3867";"18.8277";"Cape Hangklip";NULL
"279";"Cape Fear";"33.8468";"-77.9367";NULL;NULL
"280";"Cape Finestere";"42.88";"-9.27";NULL;NULL
"281";"Cape Finister";"42.88";"-9.27";NULL;NULL
"282";"Cape Finistere";"42.88";"-9.27";NULL;NULL
"283";"Cape Finisterre";"42.88";"-9.27";NULL;NULL
"284";"Cape Finistre";"42.88";"-9.27";NULL;NULL
"285";"Cape Finnester";"42.88";"-9.27";NULL;NULL
"286";"Cape Finnister";"42.88";"-9.27";NULL;NULL
"287";"Cape Finnistere";"42.88";"-9.27";NULL;NULL
"288";"Cape Florida";"25.6666";"-80.156";"Cape Florida (Miami)";NULL
"289";"Cape Francois";"19.7458";"-72.1932";"Cap-Haïtien";NULL
"290";"Cape Frio";"-22.9925";"-41.9877";"Cape Fio, Brazil";NULL
"291";"Cape Froward";"-53.8957";"-71.2946";NULL;NULL
"292";"Cape Gallo";"6.029";"80.218";"Galle";NULL
"293";"Cape Good Hope";"-34.3569";"18.4966";NULL;NULL
